slug,event_title,event_date,mu,fighter1,fighter2,f1_open,f1_close,f2_open,f2_close,f1_ticks,f2_ticks,t_open,t_close
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25714,Rafael Dos Anjos,Rafael Fiziev,2.08,3.05,1.76923,1.3937,36,36,1641588986000,1645319902000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25760,Jamahal Hill,Johnny Walker,1.41667,1.42373,2.98,2.92,114,114,1642005874000,1645322652000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,26081,Jamie Pickett.,Kyle Daukaus,3.1,3.49,1.4,1.31546,114,114,1644759005000,1645320988000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25881,Alan Baudot,Parker Porter,2.7,3.23,1.5,1.35842,122,122,1643156165000,1645319188000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25812,Jim Miller,Nikolas Motta,1.54054,2.45,2.6,1.57471,95,95,1642382765000,1645317747000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25802,Abdul Razak Alhassan,Joaquin Buckley,2.3,2.34,1.66667,1.62112,118,118,1642382765000,1645315948000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25943,David Onama,Gabriel Benitez,2.05,1.54054,1.8,2.54,209,209,1644009251000,1645313908000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25623,Jessica-Rose Clark,Stephanie Egger,1.42553,1.53191,3.0,2.56,92,92,1642382765000,1645312708000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25657,Alexander Romanov,Ilir Latifi,1.33333,1.33333,3.4,3.4,1,1,1642708704000,1642708704000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25775,Julian Marquez,Kyle Daukaus,2.35,2.35,1.60606,1.60606,1,1,1642708704000,1642708704000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25773,Austin Lingo,Jonathan Pearce,3.8,3.8,1.26667,1.26667,5,5,1642708825000,1643038823000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25776,Khalid Taha,Mario Bautista,1.95238,2.0,1.86957,1.83333,2,2,1642708945000,1643038943000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25774,Chas Skelly,Mark Striegl,1.45455,1.47619,2.85,2.73,70,70,1642382765000,1645311508000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,25501,Diana Belbirr,Gloria de Paula,1.38462,1.81301,3.2,2.01,147,147,1642382765000,1645309947000
ufc-2413,UFC for February 19 | Best Fight Odds,2022-02-19,24910,Chad Anheliger,Jesse Strader,1.33333,1.38462,3.5,3.08,92,92,1642382765000,1645308329000
