event_date,bfo_slug,mu,fighter1,fighter2,f1_line,f2_line,captured_at
2026-09-12,noche-ufc-4318,44696,Brandon Moreno,Joseph Morales,2.01,1.8,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44697,Alexa Grasso,Manon Fiorot,2.91,1.40984,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44698,Curtis Blaydes,Waldo Cortes-Acosta,2.77,1.45249,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44699,Dan Ige,David Martinez,3.73,1.27473,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44700,Marwan Rahiki,Tommy McMillen,2.45,1.55866,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44701,Edgar Chairez,Tim Elliott,1.47847,2.68,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44702,Djorden Santos,Yousri Belgaroui,6.36,1.1321,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44703,Drakkar Klose,Tommy Gantt,4.76,1.19157,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44718,Ignacio Bahamondes,Muslim Salikhov,1.18692,4.91,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44720,Rafa Garcia,Rongzhu,2.57,1.52083,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44721,Jj Aldrich,Regina Tarin,3.3,1.33445,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44793,Jessie Rosas,Sean King,2.32,1.57803,2026-09-08T14:24:32-06:00
2026-09-12,noche-ufc-4318,44701,Edgar Chairez,Tim Elliott,1.4717,2.7,2026-09-08T15:18:12-06:00
2026-09-12,noche-ufc-4318,44718,Ignacio Bahamondes,Muslim Salikhov,1.18484,4.99,2026-09-08T15:18:12-06:00
2026-09-12,noche-ufc-4318,44702,Djorden Santos,Yousri Belgaroui,6.36,1.12903,2026-09-08T15:18:12-06:00
2026-09-12,noche-ufc-4318,44720,Rafa Garcia,Rongzhu,2.57,1.51813,2026-09-08T15:18:12-06:00
2026-09-12,noche-ufc-4318,44793,Jessie Rosas,Sean King,2.37,1.58824,2026-09-08T15:18:12-06:00
2026-09-12,noche-ufc-4318,44696,Brandon Moreno,Joseph Morales,2.02,1.79365,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44700,Marwan Rahiki,Tommy McMillen,2.43,1.56818,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44697,Alexa Grasso,Manon Fiorot,2.95,1.4065,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44698,Curtis Blaydes,Waldo Cortes-Acosta,2.74,1.46083,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44699,Dan Ige,David Martinez,3.88,1.26178,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44701,Edgar Chairez,Tim Elliott,1.47393,2.7,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44718,Ignacio Bahamondes,Muslim Salikhov,1.18282,4.99,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44702,Djorden Santos,Yousri Belgaroui,6.39,1.12771,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44703,Drakkar Klose,Tommy Gantt,4.76,1.19342,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44720,Rafa Garcia,Rongzhu,2.55,1.52632,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44793,Jessie Rosas,Sean King,2.37,1.59524,2026-09-09T08:19:55-06:00
2026-09-12,noche-ufc-4318,44721,Jj Aldrich,Regina Tarin,3.29,1.34014,2026-09-09T08:19:55-06:00
