fight_id,rd_a,rd_b
4acab67848e78327,350.00,350.00
4b9ae533ccb3fcdf,350.00,350.00
ccee020be2e8d9f6,350.00,350.00
d917c8c7461b9831,350.00,350.00
3b020d4914b44fc8,350.00,350.00
17ee4caf06981b81,350.00,350.00
c53325be8ce33b8b,350.00,350.00
fcd8e8ec45eb6b9f,350.00,350.00
8ea72cf82fac07f6,290.32,290.32
b72acedda7ddc006,290.32,350.00
c4aa04781989699e,290.32,290.32
5655639baecd8f6a,290.32,290.32
8fbdde20b712b8da,247.46,256.35
aa161c7159741766,247.46,247.46
00835554f95fa911,216.04,216.96
8887948f0c097cd8,350.00,350.00
56315d5ac11594a5,350.00,350.00
ca837b002a318766,350.00,350.00
f65b000b7e450bcf,192.62,350.00
5167a5aec41f8b6d,290.32,350.00
323f543eb8abdb36,350.00,290.32
a1db4c917777aa79,350.00,350.00
b80e6a799c95d499,350.00,350.00
8f8f47a728c3127e,350.00,350.00
0b71ada6c9209fc9,187.07,350.00
ccccc0a22b05eac6,290.37,350.00
7e7d7a488ea21f63,286.98,350.00
040ecf01338dff9e,350.00,350.00
9c74c2758a2c7c2e,182.18,256.38
e65a23b80c869456,290.32,290.32
f29eec19aa5c1303,172.54,247.46
802c0e4e228996ac,350.00,350.00
fa152ada833de1d4,290.38,350.00
fa3b940bd48da7e2,350.00,350.00
43c2c904e1574c59,350.00,350.00
ebfe035b70080668,350.00,350.00
2308e0da38efd4ba,220.39,290.38
db4c169722cf1e33,290.32,290.32
cbf3fc8730b4ad09,200.38,290.32
db8df615610f3632,256.47,164.08
6ca94b35719eb300,186.00,247.46
b297c3e938e1005e,350.00,350.00
8e03db41687d9132,290.43,350.00
88945d70ee6c6467,350.00,350.00
547295977141cbc2,350.00,350.00
e2b32e1683a566af,193.45,350.00
5d19fa2df1cb61a2,242.28,212.00
43f6b0c40113d0d8,290.32,290.32
3c2c7c095c79a506,212.30,256.42
d62aec55bc142346,231.59,172.06
66c029f49d3c5da6,195.40,247.46
4b334c9727eee450,290.35,350.00
e4fe950846b51bdf,350.00,350.00
e9ce3a28eeb83905,350.00,350.00
869d753568a114a6,247.50,350.00
fcf632627ce40195,350.00,256.56
ef2ccb690dcd943f,216.42,350.00
9ebb7bba0b45d517,350.00,290.40
62bb4ea8bf86790c,223.66,275.90
99d98a2d278bfa1f,286.94,201.74
3932f8e9a74f3d11,200.97,179.04
e7ca291dd8f5661b,238.86,201.66
6449a1a9a69a830c,241.08,290.37
7ffcc3a72e082ace,232.16,350.00
6b0430e9c97afec7,212.15,256.84
8cc976ee1a123fb8,160.52,183.78
3e39aac3e15d75bd,207.76,227.89
d45f9dfdb75a640f,165.75,192.69
0d872527bbb3cd40,151.44,193.42
717f3c3932279196,157.52,190.14
524b49a676498c6d,142.76,147.26
5701dbbbfa4f8313,350.00,350.00
3cf6583153078f8f,350.00,350.00
16cb0064575e2b0b,169.78,350.00
ab7390e549e28893,350.00,350.00
8312985b75241b06,350.00,350.00
90bce37a788afeaa,290.32,290.32
f5156ca4dcd2a0e3,290.32,290.32
16b4a0b06427f1ac,181.66,315.90
8d2e99599124a16f,247.46,247.46
e92abaf81ad5949b,350.00,350.00
31fc4d5d5d1a6126,290.48,350.00
c89017008da245be,350.00,350.00
ca62a52ab0bd9108,350.00,216.11
378ede9e541c82f9,212.28,350.00
db845f2e28c22b4c,216.11,350.00
6a060498e60756af,134.30,176.86
dc6a8ec4d6c477de,287.09,350.00
f59b1215176636f6,247.55,287.28
de2ced807ed3eb0b,206.19,197.37
e4acc3bb3c3e27d1,350.00,350.00
ba65a2f56dc6a5ed,350.00,350.00
bde5589889ded1c9,201.53,350.00
ced000124f98f276,190.43,290.32
b71cb011942f3176,290.32,188.39
6397fba14ce7f674,236.15,180.97
c413b0abc04358c3,290.43,350.00
3badedeb2c5533f4,350.00,350.00
b03b58b04dafa93a,209.68,350.00
7149494344c04258,254.22,350.00
398ff6015a5ba3b5,174.44,221.53
a5200c9bac3c420b,247.59,350.00
b633d9d9626239ec,201.76,229.35
9f6a7aee1fce539a,256.42,163.70
a5c90086fb65f58e,183.78,244.94
d93c8c77e1091a16,290.42,247.90
2f449bd58b3d9a99,290.42,350.00
9713ba5e92ee4f5d,169.84,175.38
f84070b049bc14e6,157.10,256.57
14e48e29fefe1b3d,289.92,162.30
fa48320affd3b2b4,160.65,210.06
