event_date,event,fight_id,fighter,rule,live,units,rd_self,rd_opp,placed,stake_u,pnl_placed,open_line,placeable_line,clean_close,clv_pts,result,method,round,pnl,pnl_at_open
2012-01-14,UFC 142: Aldo vs Mendes,7bb603674999e675,Felipe Arantes,FLIP,0,1,290.39,350.0,0,0.0,0.0,175,,155,4.21,WIN,U-DEC,3,1.75,1.75
2012-01-20,UFC on FX: Guillard vs Miller,fc91f1e448f35797,Christian Morecraft,FLIP,0,1,214.69,149.65,1,0.5,-0.5,150,,185,-3.87,LOSS,KO/TKO,1,-1.0,-1.0
2012-01-28,UFC on FOX: Evans vs Davis,e8a167bb84082832,Michael Johnson,FLIP,0,1,224.59,188.83,0,0.0,0.0,165,,225,-5.37,WIN,U-DEC,3,1.65,1.65
2012-01-28,UFC on FOX: Evans vs Davis,c63a050af0692daf,Mike Russow,GAP,0,1,209.34,290.44,0,0.0,0.0,-210,,-105,-13.79,WIN,U-DEC,3,0.4762,0.4762
2012-02-04,UFC 143: Diaz vs Condit,6ecc59654c2f519f,Matthew Riddle,GAP,0,1,156.93,350.0,1,0.81,0.2314,-350,,-365,3.38,WIN,S-DEC,3,0.2857,0.2857
2012-02-04,UFC 143: Diaz vs Condit,d019250cc6d93527,Alex Caceres,FLIP,0,1,221.94,246.28,0,0.0,-0.0,110,,115,0.63,LOSS,S-DEC,3,-1.0,-1.0
2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,74e92a66b29674a9,John Albert,FLIP,0,1,290.36,213.67,0,0.0,-0.0,200,,220,-0.46,LOSS,SUB,1,-1.0,-1.0
2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,5f7a1ba6e016b249,Walel Watson,FLIP,0,1,251.5,290.36,0,0.0,-0.0,200,,235,-2.22,LOSS,U-DEC,3,-1.0,-1.0
2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,f10d3d4ffd5a4922,Ronny Markes,FLIP,0,1,272.4,139.03,1,0.5,0.775,155,,-140,19.63,WIN,S-DEC,3,1.55,1.55
2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,e93d07a18ca847c8,Stefan Struve,FLIP,0,1,147.09,290.45,1,0.88,0.924,105,,101,2.68,WIN,KO/TKO,2,1.05,1.05
2012-02-25,UFC 144: Edgar vs Henderson,eac1c31f1b3d11f3,Yushin Okami,FLIP,0,1,123.97,145.46,1,1.0,-1.0,240,,-410,51.04,LOSS,KO/TKO,3,-1.0,-1.0
2012-02-25,UFC 144: Edgar vs Henderson,319053a9de63ab85,Cheick Kongo,GAP,0,1,115.63,212.06,1,1.0,-1.0,-210,,-280,8.56,LOSS,KO/TKO,1,-1.0,-1.0
2012-03-02,UFC on FX: Alves vs Kampmann,01e5e4099f03f20e,Court McGee,FLIP,0,1,218.4,199.84,0,0.0,-0.0,130,,-125,13.58,LOSS,U-DEC,3,-1.0,-1.0
2012-04-14,UFC on FUEL TV: Gustafsson vs Silva,8aa637fc26a01581,Cyrille Diabate,FLIP,0,1,192.95,350.0,0,0.0,0.0,160,,177,-1.34,WIN,M-DEC,3,1.6,1.6
2012-04-14,UFC on FUEL TV: Gustafsson vs Silva,93096cfccdbf4fe8,Alexander Gustafsson,GAP,0,1,163.19,152.9,1,0.76,0.3619,-210,,-260,7.28,WIN,U-DEC,3,0.4762,0.4762
2012-04-21,UFC 145: Jones vs Evans,eaf8782e4e03139b,Marcus Brimage,FLIP,0,1,290.39,350.0,0,0.0,0.0,220,,215,1.37,WIN,S-DEC,3,2.2,2.2
2012-04-21,UFC 145: Jones vs Evans,06eb7492a27bb19a,Keith Wisniewski,FLIP,0,1,240.65,350.0,0,0.0,-0.0,180,,135,8.74,LOSS,S-DEC,3,-1.0,-1.0
2012-04-21,UFC 145: Jones vs Evans,a6c02fb0b18e916c,Travis Browne,GAP,0,1,184.88,350.0,0,0.0,0.0,-185,,-300,12.11,WIN,SUB,1,0.5405,0.5405
2012-04-21,UFC 145: Jones vs Evans,c1c8b38d315d487b,Mark Bocek,GAP,0,1,135.03,225.74,1,0.96,0.4923,-195,,-290,10.04,WIN,U-DEC,3,0.5128,0.5128
2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,ade59be2e9bc1108,Rafael Dos Anjos,GAP,0,1,141.08,262.3,1,0.92,0.3539,-260,,-338,6.97,WIN,SUB,1,0.3846,0.3846
2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,4655930eb83446c7,TJ Grant,GAP,0,1,150.05,287.0,1,0.86,0.2205,-390,,-422,2.82,WIN,U-DEC,3,0.2564,0.2564
2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,49818fb1520ce956,Jeremy Stephens,FLIP,0,1,117.34,166.92,1,1.0,-1.0,200,,200,1.21,LOSS,U-DEC,3,-1.0,-1.0
2012-05-26,UFC 146: Dos Santos vs Mir,d5457867cbd0caf7,Daniel Pineda,FLIP,0,1,247.53,204.71,0,0.0,-0.0,165,,104,11.47,LOSS,U-DEC,3,-1.0,-1.0
2012-05-26,UFC 146: Dos Santos vs Mir,a6a1adfeab7f7bb7,Kyle Kingsbury,FLIP,0,1,165.1,350.0,0,0.0,-0.0,170,,208,-3.59,LOSS,SUB,1,-1.0,-1.0
2012-05-26,UFC 146: Dos Santos vs Mir,de8e1dd07ad49c94,CB Dollaway,FLIP,0,1,148.35,250.68,1,0.87,1.131,130,,148,-1.93,WIN,U-DEC,3,1.3,1.3
