fighter_id,name,record,height_in,reach_in,stance,dob
001eb2ab0f30e7ea,Mark Choinski,8-1-0,68,69,Orthodox,1995-10-22
002ca196477ce572,Gabriel Silva,8-2-0,66,71,Orthodox,1994-08-26
003d82fa384ca1d0,Aalon Cruz,8-4-0,72,78,Switch,1989-09-20
0052de90691d4a93,Davi Ramos,10-4-0,66,70,Orthodox,1986-11-05
008dc37cca279def,Sean McCorkle,17-7-0,79,81,Orthodox,1976-07-17
008ea710276c9606,Jeff Molina,11-2-0,66,69,Orthodox,1997-07-17
009341ed974bad72,Jiri Prochazka,32-6-1,75,80,Orthodox,1992-10-14
009c4420727149ea,AJ Dobson,7-3-0 (1 NC),73,76,Orthodox,1992-01-18
00a3ff40c4b2cf21,Glaico Franca Moreira,15-5-0,72,77,Orthodox,1991-02-28
00debc804e2b1cd4,Dylan Andrews,18-7-0 (1 NC),73,74,Switch,1979-11-15
00e11b5c8b7bfeeb,Luke Rockhold,16-6-0,75,77,Southpaw,1984-10-17
010986ee359fb863,John Salter,14-3-0,73,74,Southpaw,1985-03-21
0112352cb32f5026,Denis Tiuliulin,10-10-0 (1 NC),73,77,Orthodox,1988-05-17
013da757877044a2,Joe Brammer,7-3-1,68,,Orthodox,1983-08-23
01641ba5df0c69b0,Gabriel Bonfim,20-1-0,73,72,Orthodox,1997-08-20
016a8d958883167c,Gina Mazany,7-6-0,66,68,Southpaw,1988-08-19
01784fbc27c68b14,Rachael Ostovich,4-6-0,63,62,Orthodox,1991-02-25
01afe0916a40c7c5,Shavkat Rakhmonov,19-0-0,73,77,Orthodox,1994-10-23
01b352b6a9074d5c,Chase Sherman,16-12-0,76,78,Orthodox,1989-11-16
01b39decaf0abf6a,Benji Radach,21-7-0 (1 NC),70,,Orthodox,1979-04-05
01c9e4013afce141,Michael Aswell Jr.,11-5-0,68,69,Orthodox,2000-09-27
01d2ed8c502e3828,Caros Fodor,11-6-0,69,74,Orthodox,1984-01-07
01daf32100ed7517,Koji Oishi,25-10-10,68,,Orthodox,1977-05-31
01f022fa494188e2,Josh Bryant,15-4-0,70,,Orthodox,1980-04-23
01fcef7e3d051722,Henry Briones,16-8-1,68,69,Orthodox,1980-10-22
01fed6f61ebea01f,Jay Perrin,10-7-0,67,67,Switch,1993-06-15
0232cabbc30a2372,Adrian Yanez,18-6-1,67,70,Orthodox,1993-11-29
02500fb9fd79a974,Jason Reinhardt,20-3-0,66,,Orthodox,1969-10-31
025f0b1b58fbad01,Darko Stosic,13-4-0,72,76,Orthodox,1992-02-09
029880cdbf5ca089,Sean Sherk,36-4-1,66,67,Orthodox,1973-08-05
029afd138865d20a,Rafael Alves,20-12-0,68,68,Orthodox,1990-11-14
029e1293e609fd74,Abubakar Nurmagomedov,17-4-1,71,72,Orthodox,1989-11-13
029eaff01e6bb8f0,Dustin Poirier,30-10-0 (1 NC),69,72,Southpaw,1989-01-19
02bb48869eb7ac8f,Rayanne dos Santos,14-9-0,62,62,Orthodox,1995-06-08
02d276b7d62b3472,Rudyard Moncayo,0-3-0,70,,Orthodox,1973-05-17
02e52b3a595f0786,Kevin Jordan,11-9-0,75,,Orthodox,1970-12-31
02f2a9702ba3d167,Artem Lobov,13-15-1 (1 NC),69,65,Southpaw,1986-08-11
02f484417a6fa69d,Uran Satybaldiev,9-1-0,76,79,Orthodox,1994-08-10
02f8fedc18cbd26c,Emily Ducote,13-9-0,62,63,Orthodox,1994-01-01
02fc8f50f56eb307,Trent Jenkins,0-4-0,74,,,
030f08370fd1c2bb,Kerry Schall,24-13-0 (1 NC),74,,Orthodox,1971-08-09
032cc3922d871c7f,Khabib Nurmagomedov,29-0-0,70,70,Orthodox,1988-09-20
0359313549d230a1,Pete Sell,10-7-0,71,75,Orthodox,1982-08-05
03688dc3c3af3ac1,Bas Rutten,28-4-1,73,,Orthodox,1965-02-24
036e96c1c12b8a59,Nick Fiore,6-2-0,70,72,Orthodox,1997-12-10
03c9994c5b8958ec,John Cholish,8-3-0,71,74,Orthodox,1983-12-17
03dee485905dbc9f,Zachary Scroggin,7-1-0,75,74,Orthodox,1996-03-09
03f982ca3735070c,Walt Harris,13-10-0 (1 NC),77,77,Southpaw,1983-06-10
040426baba8a45e8,Nate Schroeder,11-10-0,73,,,1973-06-02
040a74bb0a465c54,Arnold Allen,21-4-0,68,70,Southpaw,1994-01-22
045f25b3a4c08e81,Jack Marshman,23-10-0,72,73,Orthodox,1989-12-19
04643fd03d9159cc,Marcus Aurelio,22-10-0,70,74,Orthodox,1973-08-18
047a91d3d9c79b05,Collin Anglin,8-3-0,69,71,Orthodox,1993-02-20
04835018f90b118c,Casey O'Neill,11-2-0,66,69,Orthodox,1997-10-07
049d698d773eb3e1,Matt Horwich,30-25-1,73,,Orthodox,1978-10-02
04b39f4e8eb59d7c,Oluwale Bamgbose,6-4-0,71,78,Switch,1987-08-04
04c15b52c3cc1cab,Nate Mohr,9-7-0,69,72,Orthodox,1983-03-03
04c8b08b16a5b99e,Tanner Boser,22-11-1,74,75,Orthodox,1991-08-02
04d5718ed2661e8c,Jorge Gurgel,14-10-0,67,69,Orthodox,1977-01-25
04f9fe830cf13482,Gerald Strebendt,9-7-0,69,,Orthodox,1979-03-01
04ff3a711504d6b3,Magomed Zaynukov,9-0-0,70,68,Orthodox,1995-01-02
052ceb8976695342,Chase Gormley,14-6-0 (1 NC),75,,Orthodox,1983-08-11
05339613bf8e9808,Rob Font,22-10-0,68,71,Orthodox,1987-06-25
0541480fbf719d86,Houston Alexander,17-15-1 (2 NC),72,72,Orthodox,1972-03-22
054defd5420a551f,Rob Kimmons,25-9-0,70,73,Orthodox,1981-01-30
05560764359161e4,Constantinos Philippou,13-5-0 (1 NC),71,73,Orthodox,1979-11-29
056c493bbd76a918,Henry Cejudo,16-6-0,64,64,Orthodox,1987-02-09
0577808d22dfe79c,Jon Olav Einemo,6-3-0,78,,Orthodox,1975-12-10
05866d8c3a321856,Marvin Eastman,18-15-1,69,73,Orthodox,1971-06-08
058e4e08a1ad8aba,Dale Hartt,6-3-0,70,69,Orthodox,1979-04-04
0597a4528ebd1307,Chris Price,19-4-0,74,,Southpaw,1982-11-09
05b43e0ead3df345,Kailin Curran,4-5-0,64,65,Orthodox,1991-04-11
05fa626cb33d15b8,Andrea Lee,13-11-0,66,69,Orthodox,1989-02-11
0641c21bec209472,Mike Jackson,1-2-0 (1 NC),74,74,Orthodox,1985-03-22
064b7dc68d786254,Cain Carrizosa,10-3-0,68,,Orthodox,1986-07-22
065eb44700e641a4,Devin Powell,9-4-0,72,73,Orthodox,1988-03-01
06626b6287e1ae1e,Chris Padilla,17-6-1,69,74,Orthodox,1995-09-14
06734ca9d88dec3a,Shara Magomedov,17-1-0,74,73,Orthodox,1994-05-16
06827d70c53ff0d9,Scott Askham,14-4-0,75,75,Southpaw,1988-05-20
068f8a189a47fea6,Maurice Greene,9-7-0,79,80,Orthodox,1986-07-05
06a80a685ea98573,Irwin Rivera,10-6-0,66,67,Southpaw,1989-02-14
06e4245d16fc5315,Ailin Perez,13-2-0,65,66,Switch,1994-10-05
06f0ffa6446c5b6d,Branden Lee Hinkle,17-11-0 (1 NC),75,,Orthodox,1973-07-29
06f36cf4bd97ec77,Ed Herman,27-16-0 (1 NC),73,77,Orthodox,1980-10-02
07047eb7d17fb0a2,Daria Zhelezniakova,10-3-0,69,68,Orthodox,1996-01-23
07225ba28ae309b6,Charles Oliveira,37-11-0 (1 NC),70,74,Orthodox,1989-10-17
072a10e85f7d4bff,Milana Dudieva,11-6-0,63,,Orthodox,1989-08-04
0749d968e932df53,Tarec Saffiedine,16-7-0,70,70,Switch,1986-09-06
0778f94eb5d588a5,Joey Gomez,6-2-0,70,73,Orthodox,1986-07-21
07797f10b9569cfc,Angel Pacheco,7-4-0,68,70,Orthodox,1992-01-13
077e3ace32b72be9,CJ Vergara,12-7-1,66,68,Orthodox,1991-06-18
078695e385ec2f57,Victor Valenzuela,14-4-0,69,71,Orthodox,1994-02-09
07a18ae55dfc3cd9,Paul Varelans,9-9-0,80,,Orthodox,1969-09-17
07a2bdaa0afdd831,Rogerio Bontorin,16-4-0 (2 NC),65,67,Orthodox,1992-04-25
07a74004d964c7f4,Billy Elekana,10-2-0,75,77,Southpaw,1995-05-28
07bc580bdf3eb9c8,Lance Gibson Jr.,10-2-0,69,72,Switch,1995-02-02
07f72a2a7591b409,Jon Jones,28-1-0 (1 NC),76,84,Orthodox,1987-07-19
07f959e6596307bb,Carlos Vera,12-4-0,66,69,Orthodox,1987-11-05
