event_date,event,fight_id,fighter,rule,rd_self,rd_opp,placed,stake_u,pnl_placed,open_line,placeable_line,clean_close,clv_pts,result,method,round,pnl
2025-01-18,UFC 311: Makhachev vs. Moicano,938081fae11dcbbf,Zach Reese,FLIP,208.9,350.0,0,0.0,-0.0,160,,152,1.03,LOSS,KO/TKO,1,-1.0
2025-02-01,UFC Fight Night: Adesanya vs. Imavov,775788423f5eeb99,Fares Ziam,FLIP,143.91,179.97,1,0.9,1.8,200,,120,12.19,WIN,U-DEC,3,2.0
2025-02-08,UFC 312: Du Plessis vs. Strickland 2,d13849f49f99bf01,Dricus Du Plessis,GAP,126.49,92.15,1,1.0,0.7692,-130,,-219,11.42,WIN,U-DEC,5,0.7692
2025-02-15,UFC Fight Night: Cannonier vs. Rodrigues,f4817d5cbe9be532,Ketlen Souza,FLIP,211.52,88.59,1,0.5,-0.5,124,,-107,6.56,LOSS,S-DEC,3,-1.0
2025-02-15,UFC Fight Night: Cannonier vs. Rodrigues,365e2d891b98b86d,Gregory Rodrigues,FLIP,139.75,100.04,1,0.93,-0.93,110,,-242,21.96,LOSS,KO/TKO,4,-1.0
2025-02-22,UFC Fight Night: Cejudo vs. Song,b6475543ab6d20c9,Modestas Bukauskas,GAP,139.95,282.49,1,0.93,0.3121,-298,,-281,-1.3,WIN,KO/TKO,1,0.3356
2025-03-08,UFC 313: Pereira vs. Ankalaev,79f1c9f97d83ec83,Iasmin Lucindo,FLIP,164.6,114.01,1,0.75,-0.75,105,,-137,8.54,LOSS,U-DEC,3,-1.0
2025-03-15,UFC Fight Night: Vettori vs. Dolidze 2,1c62a7444808d97f,Josiane Nunes,GAP,194.51,128.52,1,0.54,-0.54,-225,,-168,-6.39,LOSS,KO/TKO,1,-1.0
2025-03-15,UFC Fight Night: Vettori vs. Dolidze 2,d8f40b82364b6411,Alexander Hernandez,GAP,106.66,163.09,1,1.0,0.5714,-175,,-197,2.46,WIN,U-DEC,3,0.5714
2025-03-22,UFC Fight Night: Edwards vs. Brady,2a1071689c3af9df,Chris Padilla,FLIP,250.85,144.01,1,0.5,0.525,105,,105,1.06,WIN,S-DEC,3,1.05
2025-03-29,UFC Fight Night: Moreno vs. Erceg,5ba7dd466e30169f,Ronaldo Rodriguez,GAP,237.59,234.69,0,0.0,-0.0,-150,,-188,6.63,LOSS,U-DEC,3,-1.0
2025-03-29,UFC Fight Night: Moreno vs. Erceg,0f20c1d7c44fa5fe,Raul Rosas Jr.,GAP,180.3,131.89,1,0.64,0.1922,-333,,-518,8.74,WIN,U-DEC,3,0.3003
